Rank	Latitude	Longitude
1	13.02740	77.69432
2	13.02746	77.69430
3	13.02751	77.69428
4	13.02758	77.69426
5	13.02764	77.69424
6	13.02769	77.69421
7	13.02776	77.69417
8	13.02784	77.69412
9	13.02790	77.69407
10	13.02797	77.69401
11	13.02802	77.69398
12	13.02809	77.69392
13	13.02817	77.69387
14	13.02824	77.69383
15	13.02829	77.69378
16	13.02836	77.69373
17	13.02843	77.69368
18	13.02851	77.69362
19	13.02858	77.69357
20	13.02864	77.69354
21	13.02870	77.69349
22	13.02876	77.69346
23	13.02882	77.69340
24	13.02889	77.69336
25	13.02896	77.69331
26	13.02903	77.69327
27	13.02910	77.69323
28	13.02917	77.69320
29	13.02924	77.69317
30	13.02931	77.69313
31	13.02937	77.69309
32	13.02943	77.69304
33	13.02950	77.69301
34	13.02956	77.69299
35	13.02961	77.69297
36	13.02967	77.69294
37	13.02973	77.69291
38	13.02978	77.69289
39	13.02984	77.69287
40	13.02991	77.69285
41	13.02997	77.69283
42	13.03002	77.69281
43	13.03009	77.69279
44	13.03014	77.69276
45	13.03020	77.69273
46	13.03027	77.69268
47	13.03033	77.69262
48	13.03039	77.69259
49	13.03045	77.69253
50	13.03051	77.69249
51	13.03057	77.69244
52	13.03063	77.69239
53	13.03069	77.69234
54	13.03074	77.69229
55	13.03081	77.69223
56	13.03089	77.69217
57	13.03095	77.69212
58	13.03102	77.69206
59	13.03108	77.69203
60	13.03113	77.69200
61	13.03118	77.69196
62	13.03126	77.69192
63	13.03133	77.69188
64	13.03138	77.69184
65	13.03145	77.69178
66	13.03151	77.69173
67	13.03158	77.69168
68	13.03164	77.69163
69	13.03171	77.69158
70	13.03177	77.69153
71	13.03183	77.69147
72	13.03189	77.69143
73	13.03195	77.69137
74	13.03203	77.69131
75	13.03211	77.69124
76	13.03216	77.69119
77	13.03222	77.69113
78	13.03229	77.69106
79	13.03234	77.69099
80	13.03241	77.69093
81	13.03246	77.69087
82	13.03252	77.69082
83	13.03256	77.69076
84	13.03262	77.69070
85	13.03268	77.69063
86	13.03275	77.69057
87	13.03283	77.69051
88	13.03290	77.69045
89	13.03295	77.69039
90	13.03301	77.69033
91	13.03309	77.69026
92	13.03316	77.69019
93	13.03324	77.69013
94	13.03329	77.69008
95	13.03335	77.69002
96	13.03342	77.68997
97	13.03348	77.68992
98	13.03354	77.68987
99	13.03361	77.68981
100	13.03368	77.68976
101	13.03373	77.68972
102	13.03378	77.68968
103	13.03384	77.68963
104	13.03389	77.68959
105	13.03395	77.68954
106	13.03401	77.68950
107	13.03407	77.68944
108	13.03414	77.68940
109	13.03420	77.68934
110	13.03425	77.68928
111	13.03433	77.68922
112	13.03438	77.68919
113	13.03444	77.68915
114	13.03446	77.68909
115	13.03448	77.68902
116	13.03450	77.68897
117	13.03452	77.68889
118	13.03455	77.68883
119	13.03457	77.68877
120	13.03458	77.68871
121	13.03461	77.68865
122	13.03462	77.68860
123	13.03464	77.68853
124	13.03465	77.68847
125	13.03466	77.68841
126	13.03467	77.68835
127	13.03468	77.68828
128	13.03470	77.68821
129	13.03472	77.68815
130	13.03474	77.68808
131	13.03476	77.68801
132	13.03478	77.68794
133	13.03479	77.68789
134	13.03481	77.68782
135	13.03483	77.68772
136	13.03485	77.68765
137	13.03486	77.68758
138	13.03490	77.68751
139	13.03492	77.68746
140	13.03494	77.68740
141	13.03496	77.68733
142	13.03498	77.68724
143	13.03500	77.68717
144	13.03502	77.68712
145	13.03504	77.68707
146	13.03507	77.68699
147	13.03508	77.68693
148	13.03509	77.68687
149	13.03512	77.68680
150	13.03511	77.68673
151	13.03512	77.68668
152	13.03512	77.68662
153	13.03513	77.68655
154	13.03514	77.68650
155	13.03514	77.68643
156	13.03515	77.68634
157	13.03515	77.68627
158	13.03515	77.68621
159	13.03515	77.68613
160	13.03515	77.68606
161	13.03515	77.68599
162	13.03514	77.68592
163	13.03514	77.68584
164	13.03514	77.68577
165	13.03514	77.68569
166	13.03514	77.68561
167	13.03515	77.68555
168	13.03514	77.68548
169	13.03514	77.68540
170	13.03514	77.68533
171	13.03515	77.68527
172	13.03516	77.68521
173	13.03516	77.68515
174	13.03517	77.68509
175	13.03517	77.68502
176	13.03518	77.68496
177	13.03519	77.68489
178	13.03519	77.68482
179	13.03519	77.68476
180	13.03519	77.68469
181	13.03518	77.68463
182	13.03518	77.68456
183	13.03518	77.68450
184	13.03518	77.68443
185	13.03517	77.68436
186	13.03516	77.68430
187	13.03515	77.68424
188	13.03514	77.68418
189	13.03513	77.68412
190	13.03512	77.68404
191	13.03511	77.68398
192	13.03509	77.68391
193	13.03507	77.68385
194	13.03506	77.68378
195	13.03505	77.68371
196	13.03503	77.68365
197	13.03502	77.68358
198	13.03501	77.68352
199	13.03499	77.68346
200	13.03498	77.68339
201	13.03496	77.68333
202	13.03494	77.68327
203	13.03493	77.68321
204	13.03493	77.68313
205	13.03493	77.68305
206	13.03493	77.68297
207	13.03493	77.68291
208	13.03491	77.68284
209	13.03489	77.68278
210	13.03488	77.68272
211	13.03487	77.68265
212	13.03487	77.68258
213	13.03486	77.68252
214	13.03486	77.68246
215	13.03485	77.68239
216	13.03482	77.68233
217	13.03475	77.68230
218	13.03467	77.68230
219	13.03461	77.68230
220	13.03455	77.68230
221	13.03449	77.68230
222	13.03443	77.68230
223	13.03436	77.68230
224	13.03430	77.68229
225	13.03422	77.68228
226	13.03417	77.68228
227	13.03411	77.68228
228	13.03404	77.68227
229	13.03396	77.68226
230	13.03390	77.68225
231	13.03384	77.68224
232	13.03379	77.68224
233	13.03372	77.68224
234	13.03367	77.68224
235	13.03361	77.68223
236	13.03354	77.68222
237	13.03349	77.68221
238	13.03344	77.68220
239	13.03338	77.68220
240	13.03332	77.68219
241	13.03326	77.68219
242	13.03320	77.68218
243	13.03312	77.68218
244	13.03305	77.68217
245	13.03300	77.68217
246	13.03293	77.68217
247	13.03287	77.68217
248	13.03279	77.68217
249	13.03273	77.68217
250	13.03267	77.68216
251	13.03260	77.68216
252	13.03253	77.68216
253	13.03247	77.68217
254	13.03241	77.68217
255	13.03234	77.68217
256	13.03227	77.68217
257	13.03221	77.68217
258	13.03213	77.68217
259	13.03206	77.68216
260	13.03196	77.68216
261	13.03191	77.68215
262	13.03184	77.68214
263	13.03176	77.68214
264	13.03168	77.68214
265	13.03161	77.68213
266	13.03154	77.68212
267	13.03148	77.68212
268	13.03142	77.68210
269	13.03136	77.68210
270	13.03129	77.68208
271	13.03123	77.68208
272	13.03118	77.68207
273	13.03111	77.68206
274	13.03104	77.68206
275	13.03097	77.68206
276	13.03091	77.68207
277	13.03083	77.68207
278	13.03078	77.68208
279	13.03071	77.68208
280	13.03064	77.68208
281	13.03057	77.68208
282	13.03050	77.68208
283	13.03039	77.68208
284	13.03032	77.68208
285	13.03025	77.68208
286	13.03018	77.68208
287	13.03012	77.68207
288	13.03004	77.68206
289	13.02998	77.68206
290	13.02991	77.68206
291	13.02983	77.68206
292	13.02976	77.68206
293	13.02970	77.68206
294	13.02964	77.68206
295	13.02958	77.68206
296	13.02952	77.68206
297	13.02945	77.68206
298	13.02939	77.68205
299	13.02932	77.68205
300	13.02924	77.68203
301	13.02917	77.68203
302	13.02910	77.68203
303	13.02903	77.68203
304	13.02895	77.68202
305	13.02889	77.68202
306	13.02881	77.68202
307	13.02874	77.68202
308	13.02868	77.68202
309	13.02862	77.68202
310	13.02855	77.68202
311	13.02849	77.68202
312	13.02843	77.68202
313	13.02837	77.68203
314	13.02829	77.68204
315	13.02822	77.68205
316	13.02814	77.68207
317	13.02808	77.68207
318	13.02802	77.68208
319	13.02796	77.68209
320	13.02789	77.68209
321	13.02782	77.68209
322	13.02775	77.68209
323	13.02768	77.68208
324	13.02760	77.68208
325	13.02754	77.68207
326	13.02748	77.68206
327	13.02741	77.68204
328	13.02736	77.68202
329	13.02730	77.68202
330	13.02724	77.68200
331	13.02719	77.68199
332	13.02712	77.68196
333	13.02703	77.68194
334	13.02698	77.68192
335	13.02692	77.68191
336	13.02685	77.68190
337	13.02679	77.68187
338	13.02673	77.68186
339	13.02666	77.68185
340	13.02660	77.68185
341	13.02652	77.68183
342	13.02646	77.68181
343	13.02640	77.68181
344	13.02634	77.68180
345	13.02628	77.68179
346	13.02623	77.68178
347	13.02616	77.68177
348	13.02611	77.68177
349	13.02605	77.68176
350	13.02596	77.68175
351	13.02588	77.68174
352	13.02583	77.68173
353	13.02575	77.68172
354	13.02569	77.68172
355	13.02563	77.68170
356	13.02556	77.68170
357	13.02548	77.68169
358	13.02540	77.68169
359	13.02534	77.68170
360	13.02528	77.68171
361	13.02520	77.68172
362	13.02514	77.68174
363	13.02509	77.68174
364	13.02501	77.68174
365	13.02494	77.68174
366	13.02488	77.68173
367	13.02481	77.68173
368	13.02475	77.68173
369	13.02468	77.68173
370	13.02462	77.68173
371	13.02455	77.68173
372	13.02446	77.68173
373	13.02440	77.68173
374	13.02435	77.68173
375	13.02427	77.68173
376	13.02420	77.68173
377	13.02413	77.68174
378	13.02407	77.68174
379	13.02400	77.68176
380	13.02392	77.68176
381	13.02385	77.68177
382	13.02379	77.68178
383	13.02374	77.68178
384	13.02369	77.68179
385	13.02364	77.68180
386	13.02356	77.68180
387	13.02350	77.68181
388	13.02344	77.68182
389	13.02338	77.68183
390	13.02330	77.68184
391	13.02325	77.68184
392	13.02319	77.68185
393	13.02313	77.68185
394	13.02308	77.68185
395	13.02302	77.68185
396	13.02296	77.68186
397	13.02290	77.68186
398	13.02285	77.68187
399	13.02280	77.68187
400	13.02281	77.68194
401	13.02282	77.68201
402	13.02283	77.68208
403	13.02283	77.68214
404	13.02284	77.68220
405	13.02284	77.68228
406	13.02285	77.68235
407	13.02286	77.68242
408	13.02286	77.68250
409	13.02286	77.68257
410	13.02286	77.68265
411	13.02286	77.68272
412	13.02286	77.68279
413	13.02287	77.68284
414	13.02287	77.68290
415	13.02288	77.68297
416	13.02289	77.68304
417	13.02290	77.68310
418	13.02291	77.68315
419	13.02291	77.68322
420	13.02292	77.68330
421	13.02293	77.68336
422	13.02294	77.68341
423	13.02295	77.68347
424	13.02295	77.68353
425	13.02295	77.68358
426	13.02296	77.68364
427	13.02297	77.68370
428	13.02297	77.68376
429	13.02298	77.68382
430	13.02299	77.68389
431	13.02299	77.68396
432	13.02299	77.68404
433	13.02299	77.68411
434	13.02299	77.68418
435	13.02299	77.68425
436	13.02299	77.68431
437	13.02299	77.68437
438	13.02299	77.68444
439	13.02299	77.68450
440	13.02299	77.68457
441	13.02299	77.68464
442	13.02299	77.68471
443	13.02298	77.68479
444	13.02297	77.68485
445	13.02297	77.68493
446	13.02297	77.68501
447	13.02297	77.68508
448	13.02297	77.68516
449	13.02297	77.68524
450	13.02297	77.68533
451	13.02297	77.68539
452	13.02297	77.68546
453	13.02297	77.68554
454	13.02297	77.68562
455	13.02297	77.68568
456	13.02297	77.68576
457	13.02296	77.68582
458	13.02295	77.68589
459	13.02295	77.68596
460	13.02295	77.68604
461	13.02295	77.68611
462	13.02295	77.68617
463	13.02295	77.68624
464	13.02294	77.68631
465	13.02294	77.68638
466	13.02293	77.68646
467	13.02292	77.68651
468	13.02291	77.68657
469	13.02289	77.68662
470	13.02287	77.68669
471	13.02286	77.68675
472	13.02285	77.68681
473	13.02291	77.68688
474	13.02295	77.68694
475	13.02301	77.68699
476	13.02305	77.68705
477	13.02309	77.68710
478	13.02313	77.68715
479	13.02317	77.68721
480	13.02322	77.68726
481	13.02326	77.68731
482	13.02330	77.68737
483	13.02334	77.68744
484	13.02339	77.68751
485	13.02343	77.68759
486	13.02346	77.68765
487	13.02349	77.68772
488	13.02353	77.68778
489	13.02359	77.68783
490	13.02366	77.68790
491	13.02372	77.68796
492	13.02378	77.68802
493	13.02384	77.68807
494	13.02389	77.68811
495	13.02394	77.68816
496	13.02400	77.68822
497	13.02405	77.68827
498	13.02410	77.68832
499	13.02415	77.68837
500	13.02421	77.68842
501	13.02427	77.68848
502	13.02433	77.68856
503	13.02439	77.68863
504	13.02445	77.68870
505	13.02449	77.68876
506	13.02456	77.68883
507	13.02460	77.68889
508	13.02466	77.68895
509	13.02473	77.68901
510	13.02478	77.68906
511	13.02483	77.68913
512	13.02487	77.68918
513	13.02494	77.68925
514	13.02499	77.68929
515	13.02507	77.68936
516	13.02514	77.68942
517	13.02519	77.68947
518	13.02524	77.68951
519	13.02530	77.68957
520	13.02536	77.68962
521	13.02542	77.68967
522	13.02548	77.68972
523	13.02554	77.68978
524	13.02559	77.68981
525	13.02565	77.68987
526	13.02570	77.68991
527	13.02576	77.68997
528	13.02582	77.69003
529	13.02588	77.69008
530	13.02594	77.69013
531	13.02598	77.69018
532	13.02603	77.69024
533	13.02611	77.69031
534	13.02615	77.69036
535	13.02620	77.69042
536	13.02628	77.69049
537	13.02635	77.69055
538	13.02642	77.69060
539	13.02647	77.69064
540	13.02652	77.69068
541	13.02658	77.69073
542	13.02665	77.69078
543	13.02670	77.69082
544	13.02675	77.69087
545	13.02681	77.69091
546	13.02687	77.69095
547	13.02692	77.69099
548	13.02699	77.69104
549	13.02706	77.69107
550	13.02715	77.69112
551	13.02721	77.69115
552	13.02726	77.69118
553	13.02732	77.69122
554	13.02738	77.69125
555	13.02743	77.69129
556	13.02749	77.69133
557	13.02754	77.69138
558	13.02759	77.69145
559	13.02763	77.69151
560	13.02769	77.69156
561	13.02771	77.69163
562	13.02770	77.69171
563	13.02769	77.69178
564	13.02768	77.69184
565	13.02767	77.69190
566	13.02766	77.69197
567	13.02766	77.69203
568	13.02765	77.69209
569	13.02765	77.69216
570	13.02764	77.69222
571	13.02763	77.69228
572	13.02759	77.69237
573	13.02758	77.69244
574	13.02757	77.69251
575	13.02756	77.69258
576	13.02755	77.69265
577	13.02755	77.69272
578	13.02753	77.69278
579	13.02753	77.69284
580	13.02753	77.69292
581	13.02752	77.69297
582	13.02751	77.69304
583	13.02751	77.69311
584	13.02750	77.69317
585	13.02749	77.69324
586	13.02748	77.69329
587	13.02748	77.69336
588	13.02747	77.69341
589	13.02746	77.69351
590	13.02745	77.69356
591	13.02744	77.69363
592	13.02743	77.69370
593	13.02743	77.69377
594	13.02741	77.69387
595	13.02741	77.69396
596	13.02741	77.69403
597	13.02740	77.69410
598	13.02740	77.69418
599	13.02740	77.69425
