Rank	Latitude	Longitude
1	13.05361	77.67883
2	13.05356	77.67878
3	13.05349	77.67873
4	13.05343	77.67868
5	13.05336	77.67862
6	13.05329	77.67856
7	13.05323	77.67851
8	13.05317	77.67845
9	13.05312	77.67840
10	13.05307	77.67835
11	13.05301	77.67829
12	13.05296	77.67823
13	13.05292	77.67817
14	13.05287	77.67811
15	13.05281	77.67805
16	13.05277	77.67799
17	13.05270	77.67791
18	13.05266	77.67785
19	13.05261	77.67779
20	13.05257	77.67772
21	13.05253	77.67765
22	13.05249	77.67757
23	13.05246	77.67750
24	13.05243	77.67744
25	13.05240	77.67737
26	13.05237	77.67730
27	13.05233	77.67724
28	13.05231	77.67717
29	13.05228	77.67710
30	13.05226	77.67704
31	13.05224	77.67698
32	13.05221	77.67691
33	13.05220	77.67685
34	13.05218	77.67679
35	13.05217	77.67672
36	13.05215	77.67666
37	13.05213	77.67659
38	13.05211	77.67651
39	13.05210	77.67644
40	13.05208	77.67638
41	13.05207	77.67631
42	13.05205	77.67623
43	13.05204	77.67615
44	13.05202	77.67607
45	13.05201	77.67599
46	13.05200	77.67591
47	13.05199	77.67585
48	13.05197	77.67578
49	13.05196	77.67573
50	13.05195	77.67567
51	13.05193	77.67560
52	13.05193	77.67554
53	13.05192	77.67548
54	13.05191	77.67541
55	13.05189	77.67533
56	13.05187	77.67528
57	13.05186	77.67522
58	13.05184	77.67515
59	13.05182	77.67510
60	13.05181	77.67504
61	13.05179	77.67498
62	13.05177	77.67493
63	13.05176	77.67487
64	13.05174	77.67481
65	13.05172	77.67475
66	13.05170	77.67469
67	13.05168	77.67463
68	13.05167	77.67457
69	13.05165	77.67451
70	13.05162	77.67445
71	13.05159	77.67437
72	13.05157	77.67431
73	13.05154	77.67425
74	13.05151	77.67419
75	13.05148	77.67412
76	13.05146	77.67405
77	13.05145	77.67399
78	13.05144	77.67391
79	13.05143	77.67386
80	13.05141	77.67376
81	13.05139	77.67369
82	13.05137	77.67364
83	13.05136	77.67356
84	13.05134	77.67350
85	13.05133	77.67345
86	13.05131	77.67339
87	13.05134	77.67333
88	13.05135	77.67327
89	13.05137	77.67320
90	13.05139	77.67312
91	13.05141	77.67306
92	13.05143	77.67299
93	13.05145	77.67293
94	13.05146	77.67286
95	13.05147	77.67281
96	13.05148	77.67275
97	13.05150	77.67267
98	13.05152	77.67262
99	13.05154	77.67255
100	13.05157	77.67248
101	13.05158	77.67242
102	13.05163	77.67227
103	13.05165	77.67219
104	13.05167	77.67213
105	13.05169	77.67207
106	13.05170	77.67202
107	13.05173	77.67196
108	13.05175	77.67190
109	13.05177	77.67183
110	13.05180	77.67177
111	13.05182	77.67171
112	13.05183	77.67164
113	13.05186	77.67157
114	13.05187	77.67150
115	13.05182	77.67146
116	13.05176	77.67142
117	13.05169	77.67137
118	13.05163	77.67132
119	13.05156	77.67128
120	13.05150	77.67125
121	13.05145	77.67121
122	13.05139	77.67117
123	13.05133	77.67113
124	13.05126	77.67109
125	13.05119	77.67104
126	13.05113	77.67099
127	13.05106	77.67092
128	13.05100	77.67088
129	13.05093	77.67084
130	13.05088	77.67082
131	13.05081	77.67079
132	13.05075	77.67076
133	13.05069	77.67073
134	13.05063	77.67069
135	13.05056	77.67063
136	13.05051	77.67059
137	13.05044	77.67054
138	13.05037	77.67047
139	13.05030	77.67040
140	13.05025	77.67034
141	13.05019	77.67031
142	13.05012	77.67024
143	13.05007	77.67018
144	13.05002	77.67012
145	13.04998	77.67005
146	13.04994	77.66999
147	13.04990	77.66993
148	13.04986	77.66987
149	13.04983	77.66982
150	13.04981	77.66976
151	13.04980	77.66970
152	13.04979	77.66964
153	13.04979	77.66957
154	13.04981	77.66951
155	13.04986	77.66944
156	13.04987	77.66938
157	13.04989	77.66932
158	13.04991	77.66926
159	13.04993	77.66920
160	13.04993	77.66914
161	13.04993	77.66907
162	13.04993	77.66900
163	13.04992	77.66894
164	13.04991	77.66886
165	13.04990	77.66880
166	13.04990	77.66873
167	13.04989	77.66866
168	13.04989	77.66860
169	13.04988	77.66854
170	13.04987	77.66848
171	13.04986	77.66841
172	13.04985	77.66835
173	13.04982	77.66827
174	13.04981	77.66822
175	13.04978	77.66816
176	13.04974	77.66810
177	13.04970	77.66803
178	13.04965	77.66795
179	13.04964	77.66787
180	13.04962	77.66779
181	13.04960	77.66773
182	13.04959	77.66767
183	13.04957	77.66760
184	13.04957	77.66753
185	13.04957	77.66746
186	13.04957	77.66738
187	13.04957	77.66733
188	13.04957	77.66726
189	13.04957	77.66719
190	13.04957	77.66713
191	13.04956	77.66704
192	13.04956	77.66696
193	13.04955	77.66689
194	13.04954	77.66682
195	13.04953	77.66675
196	13.04952	77.66670
197	13.04952	77.66664
198	13.04951	77.66657
199	13.04951	77.66651
200	13.04950	77.66644
201	13.04950	77.66636
202	13.04950	77.66629
203	13.04950	77.66622
204	13.04949	77.66614
205	13.04948	77.66608
206	13.04945	77.66602
207	13.04945	77.66594
208	13.04944	77.66588
209	13.04943	77.66582
210	13.04943	77.66576
211	13.04943	77.66568
212	13.04943	77.66562
213	13.04943	77.66555
214	13.04945	77.66550
215	13.04946	77.66543
216	13.04948	77.66534
217	13.04951	77.66526
218	13.04952	77.66521
219	13.04953	77.66514
220	13.04954	77.66509
221	13.04955	77.66503
222	13.04957	77.66496
223	13.04959	77.66490
224	13.04959	77.66484
225	13.04959	77.66477
226	13.04959	77.66471
227	13.04957	77.66463
228	13.04957	77.66456
229	13.04957	77.66450
230	13.04958	77.66443
231	13.04958	77.66436
232	13.04958	77.66430
233	13.04959	77.66423
234	13.04961	77.66416
235	13.04961	77.66410
236	13.04962	77.66403
237	13.04964	77.66396
238	13.04967	77.66391
239	13.04971	77.66385
240	13.04975	77.66379
241	13.04977	77.66374
242	13.04981	77.66366
243	13.04984	77.66360
244	13.04992	77.66359
245	13.04998	77.66359
