Rank	Latitude	Longitude
1	13.08256	77.64856
2	13.08248	77.64856
3	13.08242	77.64857
4	13.08237	77.64858
5	13.08232	77.64859
6	13.08223	77.64859
7	13.08218	77.64861
8	13.08211	77.64863
9	13.08203	77.64864
10	13.08197	77.64865
11	13.08191	77.64866
12	13.08183	77.64868
13	13.08177	77.64870
14	13.08171	77.64871
15	13.08166	77.64871
16	13.08156	77.64874
17	13.08150	77.64874
18	13.08142	77.64876
19	13.08136	77.64877
20	13.08130	77.64877
21	13.08125	77.64878
22	13.08118	77.64879
23	13.08112	77.64880
24	13.08106	77.64881
25	13.08099	77.64882
26	13.08092	77.64885
27	13.08085	77.64887
28	13.08079	77.64888
29	13.08073	77.64890
30	13.08067	77.64892
31	13.08059	77.64894
32	13.08053	77.64896
33	13.08046	77.64897
34	13.08040	77.64899
35	13.08035	77.64902
36	13.08029	77.64905
37	13.08023	77.64908
38	13.08015	77.64911
39	13.08009	77.64914
40	13.08000	77.64916
41	13.07993	77.64919
42	13.07986	77.64921
43	13.07980	77.64923
44	13.07975	77.64924
45	13.07969	77.64926
46	13.07962	77.64928
47	13.07956	77.64930
48	13.07948	77.64933
49	13.07942	77.64935
50	13.07934	77.64937
51	13.07928	77.64938
52	13.07923	77.64939
53	13.07918	77.64940
54	13.07912	77.64941
55	13.07905	77.64942
56	13.07898	77.64943
57	13.07893	77.64944
58	13.07887	77.64945
59	13.07882	77.64945
60	13.07875	77.64947
61	13.07869	77.64947
62	13.07861	77.64948
63	13.07855	77.64950
64	13.07850	77.64950
65	13.07844	77.64951
66	13.07837	77.64951
67	13.07830	77.64953
68	13.07823	77.64955
69	13.07817	77.64956
70	13.07810	77.64957
71	13.07804	77.64958
72	13.07798	77.64960
73	13.07790	77.64962
74	13.07782	77.64964
75	13.07774	77.64966
76	13.07769	77.64967
77	13.07762	77.64970
78	13.07756	77.64973
79	13.07750	77.64976
80	13.07745	77.64979
81	13.07740	77.64982
82	13.07734	77.64985
83	13.07729	77.64988
84	13.07722	77.64990
85	13.07717	77.64991
86	13.07712	77.64994
87	13.07705	77.64996
88	13.07699	77.64999
89	13.07693	77.65002
90	13.07685	77.65004
91	13.07679	77.65007
92	13.07672	77.65010
93	13.07667	77.65012
94	13.07662	77.65013
95	13.07655	77.65016
96	13.07650	77.65018
97	13.07644	77.65021
98	13.07639	77.65024
99	13.07633	77.65027
100	13.07628	77.65029
101	13.07622	77.65034
102	13.07618	77.65039
103	13.07612	77.65044
104	13.07605	77.65048
105	13.07599	77.65053
106	13.07591	77.65059
107	13.07584	77.65062
108	13.07576	77.65065
109	13.07568	77.65067
110	13.07561	77.65069
111	13.07554	77.65070
112	13.07548	77.65071
113	13.07542	77.65071
114	13.07536	77.65072
115	13.07530	77.65072
116	13.07525	77.65073
117	13.07519	77.65074
118	13.07513	77.65075
119	13.07507	77.65075
120	13.07500	77.65073
121	13.07494	77.65070
122	13.07487	77.65065
123	13.07482	77.65062
124	13.07477	77.65061
125	13.07471	77.65058
126	13.07465	77.65057
127	13.07456	77.65055
128	13.07450	77.65054
129	13.07445	77.65054
130	13.07439	77.65053
131	13.07432	77.65051
132	13.07426	77.65050
133	13.07419	77.65049
134	13.07413	77.65048
135	13.07407	77.65048
136	13.07402	77.65047
137	13.07397	77.65046
138	13.07391	77.65046
139	13.07385	77.65044
140	13.07379	77.65044
141	13.07372	77.65043
142	13.07366	77.65042
143	13.07359	77.65040
144	13.07353	77.65038
145	13.07347	77.65037
146	13.07340	77.65036
147	13.07333	77.65035
148	13.07326	77.65034
149	13.07320	77.65034
150	13.07314	77.65033
151	13.07308	77.65032
152	13.07302	77.65031
153	13.07295	77.65031
154	13.07288	77.65030
155	13.07281	77.65030
156	13.07274	77.65029
157	13.07266	77.65028
158	13.07259	77.65028
159	13.07252	77.65029
160	13.07245	77.65031
161	13.07238	77.65032
162	13.07232	77.65033
163	13.07225	77.65034
164	13.07217	77.65035
165	13.07208	77.65037
166	13.07202	77.65037
167	13.07195	77.65039
168	13.07186	77.65040
169	13.07178	77.65040
170	13.07172	77.65040
171	13.07166	77.65040
172	13.07161	77.65040
173	13.07153	77.65041
174	13.07146	77.65041
175	13.07141	77.65041
176	13.07134	77.65042
177	13.07129	77.65042
178	13.07123	77.65043
179	13.07115	77.65044
180	13.07106	77.65046
181	13.07101	77.65047
182	13.07092	77.65048
183	13.07085	77.65050
184	13.07080	77.65050
185	13.07073	77.65051
186	13.07065	77.65054
187	13.07059	77.65056
188	13.07052	77.65056
189	13.07044	77.65059
190	13.07037	77.65060
191	13.07031	77.65060
192	13.07024	77.65060
193	13.07017	77.65059
194	13.07011	77.65061
195	13.07003	77.65063
196	13.06997	77.65065
197	13.06989	77.65067
