Rank	Latitude	Longitude
266	13.00514	77.67705
267	13.00509	77.67708
268	13.00504	77.67708
269	13.00497	77.67708
270	13.00491	77.67708
271	13.00486	77.67709
272	13.00480	77.67709
273	13.00474	77.67709
274	13.00467	77.67709
275	13.00462	77.67710
276	13.00456	77.67711
277	13.00450	77.67712
278	13.00445	77.67712
279	13.00439	77.67712
280	13.00433	77.67712
281	13.00427	77.67712
282	13.00421	77.67713
283	13.00415	77.67714
284	13.00410	77.67715
285	13.00405	77.67715
286	13.00399	77.67715
287	13.00394	77.67716
288	13.00387	77.67716
289	13.00380	77.67715
290	13.00374	77.67714
291	13.00368	77.67714
292	13.00361	77.67712
293	13.00356	77.67711
294	13.00350	77.67707
295	13.00344	77.67702
296	13.00340	77.67697
297	13.00336	77.67692
298	13.00332	77.67687
299	13.00326	77.67682
300	13.00320	77.67679
301	13.00313	77.67677
302	13.00308	77.67677
303	13.00303	77.67677
304	13.00297	77.67676
305	13.00292	77.67676
306	13.00286	77.67676
307	13.00280	77.67676
308	13.00274	77.67677
309	13.00268	77.67680
310	13.00262	77.67683
311	13.00256	77.67685
312	13.00250	77.67688
313	13.00243	77.67689
314	13.00236	77.67690
315	13.00231	77.67690
316	13.00225	77.67691
317	13.00220	77.67692
318	13.00214	77.67692
319	13.00208	77.67692
320	13.00203	77.67693
321	13.00197	77.67694
322	13.00192	77.67694
323	13.00185	77.67694
324	13.00179	77.67696
325	13.00173	77.67698
326	13.00167	77.67698
327	13.00160	77.67700
328	13.00155	77.67700
329	13.00148	77.67701
330	13.00142	77.67703
331	13.00135	77.67703
332	13.00130	77.67704
333	13.00124	77.67705
334	13.00118	77.67708
335	13.00113	77.67709
336	13.00108	77.67710
337	13.00102	77.67711
338	13.00097	77.67711
339	13.00090	77.67713
340	13.00085	77.67715
341	13.00085	77.67710
342	13.00085	77.67703
343	13.00085	77.67697
344	13.00084	77.67691
345	13.00084	77.67685
346	13.00083	77.67679
347	13.00083	77.67674
348	13.00083	77.67668
349	13.00083	77.67662
350	13.00084	77.67656
351	13.00084	77.67650
352	13.00084	77.67644
353	13.00085	77.67638
354	13.00085	77.67633
355	13.00085	77.67628
356	13.00086	77.67623
357	13.00086	77.67618
358	13.00086	77.67611
359	13.00086	77.67606
360	13.00086	77.67599
361	13.00085	77.67594
362	13.00084	77.67587
363	13.00084	77.67582
364	13.00084	77.67576
365	13.00083	77.67570
366	13.00083	77.67565
367	13.00081	77.67559
368	13.00081	77.67553
369	13.00081	77.67547
370	13.00081	77.67541
371	13.00081	77.67535
372	13.00081	77.67529
373	13.00081	77.67524
374	13.00081	77.67517
375	13.00081	77.67512
376	13.00081	77.67506
377	13.00080	77.67501
378	13.00079	77.67495
379	13.00079	77.67489
380	13.00078	77.67484
381	13.00078	77.67477
382	13.00077	77.67471
383	13.00078	77.67465
384	13.00077	77.67459
385	13.00077	77.67454
386	13.00076	77.67449
387	13.00075	77.67444
388	13.00075	77.67437
389	13.00075	77.67432
390	13.00075	77.67425
391	13.00074	77.67420
392	13.00073	77.67415
393	13.00073	77.67409
394	13.00072	77.67403
395	13.00072	77.67398
396	13.00072	77.67393
397	13.00070	77.67388
398	13.00070	77.67382
399	13.00070	77.67376
400	13.00070	77.67371
401	13.00070	77.67364
402	13.00069	77.67358
403	13.00067	77.67352
404	13.00067	77.67347
405	13.00067	77.67342
406	13.00066	77.67336
407	13.00065	77.67330
408	13.00064	77.67324
409	13.00064	77.67319
410	13.00063	77.67312
411	13.00063	77.67306
412	13.00063	77.67300
413	13.00062	77.67295
414	13.00062	77.67289
415	13.00061	77.67283
416	13.00060	77.67277
417	13.00059	77.67272
418	13.00058	77.67267
419	13.00057	77.67260
420	13.00057	77.67255
421	13.00056	77.67248
422	13.00056	77.67243
423	13.00055	77.67237
424	13.00055	77.67231
425	13.00054	77.67226
426	13.00053	77.67220
427	13.00052	77.67214
428	13.00052	77.67209
429	13.00052	77.67203
430	13.00051	77.67197
431	13.00050	77.67192
432	13.00049	77.67186
433	13.00047	77.67180
434	13.00045	77.67175
435	13.00044	77.67169
436	13.00043	77.67164
437	13.00043	77.67159
438	13.00041	77.67154
439	13.00040	77.67148
440	13.00040	77.67142
441	13.00039	77.67137
442	13.00038	77.67130
443	13.00038	77.67125
444	13.00037	77.67119
445	13.00036	77.67113
446	13.00034	77.67107
447	13.00033	77.67101
448	13.00032	77.67095
449	13.00031	77.67090
450	13.00030	77.67085
451	13.00029	77.67078
452	13.00028	77.67072
453	13.00027	77.67066
454	13.00026	77.67061
455	13.00026	77.67055
456	13.00024	77.67049
457	13.00023	77.67044
458	13.00022	77.67039
459	13.00022	77.67033
460	13.00020	77.67027
461	13.00020	77.67021
462	13.00019	77.67016
463	13.00018	77.67010
464	13.00017	77.67004
465	13.00016	77.66998
466	13.00015	77.66993
467	13.00013	77.66986
468	13.00012	77.66980
469	13.00010	77.66974
470	13.00008	77.66968
471	13.00007	77.66963
472	13.00006	77.66958
473	13.00004	77.66953
474	13.00003	77.66947
475	13.00002	77.66942
476	13.00000	77.66936
477	12.99998	77.66930
478	12.99997	77.66925
479	12.99995	77.66919
480	12.99993	77.66913
481	12.99992	77.66908
482	12.99990	77.66902
483	12.99988	77.66897
484	12.99986	77.66892
485	12.99984	77.66887
486	12.99982	77.66881
487	12.99980	77.66876
488	12.99978	77.66871
489	12.99975	77.66865
490	12.99974	77.66859
491	12.99973	77.66854
492	12.99971	77.66848
493	12.99969	77.66843
494	12.99968	77.66838
495	12.99966	77.66832
496	12.99963	77.66827
497	12.99961	77.66821
498	12.99959	77.66816
499	12.99957	77.66809
500	12.99955	77.66803
501	12.99953	77.66797
