Rank	Latitude	Longitude
1844	13.06033	77.65465
1845	13.06026	77.65465
1846	13.06019	77.65465
1847	13.06012	77.65465
1848	13.06006	77.65465
1849	13.06000	77.65464
1850	13.05994	77.65464
1851	13.05988	77.65464
1852	13.05982	77.65463
1853	13.05977	77.65463
1854	13.05970	77.65463
1855	13.05964	77.65463
1856	13.05957	77.65463
1857	13.05951	77.65463
1858	13.05945	77.65462
1859	13.05938	77.65462
1860	13.05933	77.65462
1861	13.05926	77.65462
1862	13.05919	77.65462
1863	13.05913	77.65463
1864	13.05908	77.65465
1865	13.05901	77.65467
1866	13.05896	77.65468
1867	13.05890	77.65469
1868	13.05884	77.65470
1869	13.05879	77.65462
1870	13.05873	77.65457
1871	13.05867	77.65453
1872	13.05862	77.65452
1873	13.05857	77.65450
1874	13.05852	77.65449
1875	13.05845	77.65449
1876	13.05839	77.65449
1877	13.05833	77.65449
1878	13.05827	77.65450
1879	13.05822	77.65451
1880	13.05816	77.65453
1881	13.05809	77.65456
1882	13.05804	77.65457
1883	13.05797	77.65459
1884	13.05790	77.65462
1885	13.05785	77.65463
1886	13.05778	77.65466
1887	13.05771	77.65468
1888	13.05764	77.65470
1889	13.05757	77.65473
1890	13.05751	77.65473
1891	13.05745	77.65474
1892	13.05739	77.65473
1893	13.05734	77.65472
1894	13.05728	77.65471
1895	13.05721	77.65474
1896	13.05716	77.65473
1897	13.05709	77.65473
1898	13.05704	77.65472
1899	13.05698	77.65470
1900	13.05690	77.65469
1901	13.05685	77.65467
1902	13.05678	77.65466
1903	13.05670	77.65465
1904	13.05661	77.65464
1905	13.05654	77.65462
1906	13.05648	77.65461
1907	13.05643	77.65460
1908	13.05637	77.65459
1909	13.05630	77.65456
1910	13.05627	77.65463
1911	13.05627	77.65469
1912	13.05626	77.65475
1913	13.05620	77.65475
1914	13.05615	77.65474
1915	13.05609	77.65474
1916	13.05603	77.65474
1917	13.05596	77.65474
1918	13.05590	77.65474
1919	13.05583	77.65474
1920	13.05577	77.65473
1921	13.05570	77.65473
1922	13.05564	77.65473
1923	13.05557	77.65472
1924	13.05552	77.65471
1925	13.05545	77.65470
1926	13.05539	77.65469
1927	13.05532	77.65468
1928	13.05526	77.65467
1929	13.05519	77.65467
1930	13.05513	77.65466
1931	13.05507	77.65465
1932	13.05500	77.65462
1933	13.05493	77.65459
1934	13.05488	77.65458
1935	13.05482	77.65456
1936	13.05476	77.65456
1937	13.05474	77.65451
1938	13.05473	77.65445
1939	13.05467	77.65441
1940	13.05460	77.65440
1941	13.05454	77.65440
1942	13.05448	77.65441
1943	13.05442	77.65443
1944	13.05436	77.65445
1945	13.05430	77.65448
1946	13.05423	77.65452
1947	13.05417	77.65455
1948	13.05410	77.65459
1949	13.05403	77.65462
1950	13.05395	77.65465
1951	13.05389	77.65465
1952	13.05383	77.65465
1953	13.05377	77.65465
1954	13.05370	77.65463
1955	13.05364	77.65462
1956	13.05357	77.65459
1957	13.05350	77.65458
1958	13.05345	77.65457
1959	13.05339	77.65456
1960	13.05334	77.65455
1961	13.05327	77.65451
1962	13.05321	77.65447
1963	13.05315	77.65443
1964	13.05308	77.65438
1965	13.05301	77.65435
1966	13.05295	77.65433
1967	13.05289	77.65433
1968	13.05283	77.65434
1969	13.05278	77.65435
1970	13.05270	77.65438
1971	13.05265	77.65439
1972	13.05259	77.65441
1973	13.05252	77.65444
1974	13.05245	77.65447
1975	13.05239	77.65451
1976	13.05232	77.65455
1977	13.05226	77.65458
1978	13.05221	77.65460
1979	13.05214	77.65464
1980	13.05209	77.65465
1981	13.05201	77.65468
1982	13.05195	77.65468
1983	13.05189	77.65467
1984	13.05182	77.65466
1985	13.05177	77.65466
1986	13.05172	77.65465
1987	13.05166	77.65464
