Rank	Latitude	Longitude
266	12.99965	77.70377
267	12.99964	77.70383
268	12.99964	77.70388
269	12.99964	77.70393
270	12.99964	77.70400
271	12.99964	77.70407
272	12.99963	77.70412
273	12.99957	77.70415
274	12.99952	77.70416
275	12.99947	77.70416
276	12.99941	77.70416
277	12.99936	77.70414
278	12.99930	77.70414
279	12.99923	77.70413
280	12.99918	77.70412
281	12.99912	77.70411
282	12.99907	77.70410
283	12.99901	77.70409
284	12.99895	77.70407
285	12.99889	77.70406
286	12.99884	77.70405
287	12.99878	77.70405
288	12.99872	77.70404
289	12.99866	77.70404
290	12.99859	77.70405
291	12.99854	77.70404
292	12.99848	77.70401
293	12.99842	77.70399
294	12.99837	77.70395
295	12.99831	77.70391
296	12.99826	77.70388
297	12.99820	77.70384
298	12.99815	77.70379
299	12.99809	77.70376
300	12.99803	77.70373
301	12.99798	77.70369
302	12.99793	77.70365
303	12.99787	77.70362
304	12.99781	77.70359
305	12.99775	77.70354
306	12.99769	77.70349
307	12.99763	77.70343
308	12.99757	77.70338
309	12.99751	77.70333
310	12.99746	77.70328
311	12.99740	77.70324
312	12.99737	77.70318
313	12.99732	77.70313
314	12.99728	77.70307
315	12.99721	77.70301
316	12.99716	77.70296
317	12.99710	77.70291
318	12.99705	77.70284
319	12.99700	77.70278
320	12.99696	77.70273
321	12.99692	77.70267
322	12.99688	77.70262
323	12.99685	77.70257
324	12.99680	77.70251
325	12.99677	77.70245
326	12.99675	77.70240
327	12.99672	77.70235
328	12.99669	77.70229
329	12.99666	77.70224
330	12.99664	77.70218
331	12.99661	77.70211
332	12.99660	77.70205
333	12.99658	77.70200
334	12.99657	77.70194
335	12.99655	77.70189
336	12.99654	77.70183
337	12.99652	77.70178
338	12.99650	77.70172
339	12.99648	77.70167
340	12.99647	77.70162
341	12.99645	77.70155
342	12.99644	77.70149
343	12.99643	77.70144
344	12.99637	77.70142
345	12.99632	77.70141
346	12.99625	77.70140
347	12.99618	77.70139
348	12.99612	77.70138
349	12.99606	77.70138
350	12.99600	77.70137
351	12.99593	77.70136
352	12.99588	77.70135
353	12.99583	77.70134
354	12.99576	77.70134
355	12.99571	77.70134
356	12.99565	77.70134
357	12.99559	77.70134
358	12.99553	77.70133
359	12.99547	77.70133
360	12.99541	77.70133
361	12.99536	77.70132
362	12.99529	77.70131
363	12.99523	77.70129
364	12.99517	77.70128
365	12.99511	77.70128
366	12.99505	77.70129
367	12.99500	77.70129
368	12.99493	77.70128
369	12.99487	77.70128
370	12.99482	77.70127
371	12.99476	77.70127
372	12.99471	77.70126
373	12.99465	77.70125
374	12.99460	77.70124
375	12.99454	77.70124
376	12.99449	77.70123
377	12.99443	77.70123
378	12.99437	77.70122
379	12.99432	77.70122
380	12.99426	77.70122
381	12.99421	77.70122
382	12.99415	77.70120
383	12.99415	77.70115
384	12.99415	77.70108
385	12.99416	77.70102
386	12.99417	77.70097
387	12.99419	77.70092
388	12.99420	77.70086
389	12.99423	77.70080
390	12.99425	77.70074
391	12.99426	77.70068
392	12.99428	77.70063
393	12.99429	77.70056
394	12.99429	77.70051
395	12.99430	77.70045
396	12.99432	77.70038
397	12.99434	77.70032
398	12.99436	77.70027
399	12.99438	77.70020
400	12.99440	77.70014
401	12.99441	77.70008
402	12.99443	77.70002
403	12.99444	77.69997
404	12.99446	77.69991
405	12.99447	77.69986
406	12.99449	77.69980
407	12.99452	77.69973
408	12.99453	77.69968
409	12.99455	77.69963
410	12.99456	77.69957
411	12.99458	77.69951
412	12.99460	77.69945
413	12.99461	77.69939
414	12.99463	77.69933
415	12.99465	77.69928
416	12.99468	77.69922
417	12.99470	77.69916
418	12.99473	77.69910
419	12.99475	77.69905
420	12.99477	77.69899
421	12.99479	77.69893
422	12.99480	77.69888
423	12.99482	77.69883
424	12.99484	77.69876
425	12.99485	77.69871
426	12.99487	77.69866
427	12.99490	77.69860
428	12.99493	77.69854
429	12.99494	77.69849
430	12.99496	77.69843
431	12.99497	77.69838
432	12.99498	77.69832
433	12.99499	77.69827
434	12.99501	77.69821
435	12.99503	77.69814
436	12.99506	77.69808
437	12.99509	77.69802
438	12.99511	77.69797
439	12.99513	77.69792
440	12.99515	77.69785
441	12.99516	77.69780
442	12.99518	77.69774
443	12.99519	77.69768
444	12.99520	77.69762
445	12.99521	77.69755
446	12.99523	77.69749
447	12.99526	77.69742
448	12.99528	77.69737
449	12.99529	77.69732
450	12.99530	77.69726
451	12.99531	77.69721
452	12.99531	77.69716
453	12.99531	77.69711
454	12.99531	77.69705
455	12.99531	77.69699
456	12.99531	77.69694
457	12.99532	77.69688
458	12.99533	77.69682
459	12.99533	77.69675
460	12.99533	77.69670
461	12.99534	77.69664
462	12.99534	77.69658
463	12.99535	77.69652
464	12.99535	77.69645
465	12.99536	77.69639
466	12.99536	77.69634
467	12.99537	77.69629
468	12.99538	77.69623
469	12.99539	77.69617
470	12.99540	77.69611
471	12.99540	77.69606
472	12.99541	77.69600
473	12.99541	77.69594
474	12.99543	77.69588
475	12.99544	77.69583
476	12.99546	77.69577
477	12.99547	77.69571
478	12.99548	77.69565
479	12.99550	77.69560
480	12.99551	77.69555
481	12.99552	77.69549
482	12.99554	77.69544
483	12.99555	77.69539
484	12.99557	77.69533
485	12.99559	77.69526
486	12.99559	77.69520
487	12.99561	77.69514
488	12.99562	77.69509
489	12.99564	77.69503
490	12.99565	77.69498
491	12.99567	77.69492
492	12.99569	77.69487
493	12.99571	77.69481
494	12.99573	77.69474
495	12.99575	77.69469
496	12.99578	77.69464
497	12.99580	77.69459
498	12.99582	77.69453
499	12.99585	77.69447
500	12.99587	77.69441
501	12.99591	77.69435
502	12.99594	77.69429
503	12.99597	77.69423
504	12.99599	77.69418
505	12.99602	77.69412
506	12.99604	77.69406
507	12.99606	77.69401
508	12.99609	77.69395
509	12.99612	77.69389
510	12.99614	77.69384
511	12.99616	77.69379
512	12.99617	77.69374
513	12.99620	77.69367
514	12.99622	77.69362
515	12.99625	77.69356
516	12.99628	77.69349
517	12.99630	77.69344
518	12.99632	77.69338
519	12.99634	77.69332
520	12.99636	77.69326
521	12.99638	77.69321
522	12.99640	77.69315
523	12.99641	77.69309
524	12.99642	77.69304
525	12.99645	77.69298
526	12.99647	77.69292
527	12.99650	77.69286
528	12.99651	77.69281
529	12.99653	77.69275
530	12.99655	77.69269
531	12.99656	77.69263
532	12.99659	77.69257
533	12.99660	77.69252
534	12.99663	77.69246
535	12.99666	77.69240
536	12.99668	77.69235
537	12.99670	77.69230
538	12.99671	77.69224
539	12.99673	77.69219
540	12.99675	77.69214
541	12.99678	77.69209
542	12.99681	77.69203
543	12.99685	77.69196
544	12.99688	77.69189
545	12.99691	77.69183
